SubjectEntity,relation,ObjectEntity
Water,ChemicalCompoundElement,['hydrogen']
Water,ChemicalCompoundElement,['oxygen']
Sodium chloride,ChemicalCompoundElement,['sodium']
Sodium chloride,ChemicalCompoundElement,['chlorine']
Hydrogen bromide,ChemicalCompoundElement,['hydrogen']
Hydrogen bromide,ChemicalCompoundElement,['bromine']
Hydrogen iodide,ChemicalCompoundElement,['hydrogen']
Hydrogen iodide,ChemicalCompoundElement,['iodine']
Hydrogen fluoride,ChemicalCompoundElement,['hydrogen']
Hydrogen fluoride,ChemicalCompoundElement,['fluorine']
Potassium bromide,ChemicalCompoundElement,['potassium']
Oleamide,ChemicalCompoundElement,['hydrogen']
Oleamide,ChemicalCompoundElement,['carbon']
Oleamide,ChemicalCompoundElement,['nitrogen']
Oleamide,ChemicalCompoundElement,['oxygen']
Borax,ChemicalCompoundElement,['boron']
Borax,ChemicalCompoundElement,['oxygen']
Borax,ChemicalCompoundElement,['sodium']
Potassium hydride,ChemicalCompoundElement,['hydrogen']
Potassium hydride,ChemicalCompoundElement,['potassium']
Selenium trioxide,ChemicalCompoundElement,['oxygen']
Selenium trioxide,ChemicalCompoundElement,['selenium']
Arsenic trioxide,ChemicalCompoundElement,['oxygen']
Arsenic trioxide,ChemicalCompoundElement,['arsenic']
Methanol,ChemicalCompoundElement,['hydrogen']
Methanol,ChemicalCompoundElement,['carbon']
Methanol,ChemicalCompoundElement,['oxygen']
Aspirin,ChemicalCompoundElement,['hydrogen']
Aspirin,ChemicalCompoundElement,['carbon']
Aspirin,ChemicalCompoundElement,['oxygen']
Potassium bitartrate,ChemicalCompoundElement,['carbon']
Potassium bitartrate,ChemicalCompoundElement,['oxygen']
Potassium bitartrate,ChemicalCompoundElement,['potassium']
Calcium carbonate,ChemicalCompoundElement,['carbon']
Calcium carbonate,ChemicalCompoundElement,['oxygen']
Calcium carbonate,ChemicalCompoundElement,['calcium']
Isocyanic acid,ChemicalCompoundElement,['hydrogen']
Isocyanic acid,ChemicalCompoundElement,['carbon']
Isocyanic acid,ChemicalCompoundElement,['nitrogen']
Isocyanic acid,ChemicalCompoundElement,['oxygen']
Thiocyanic acid,ChemicalCompoundElement,['hydrogen']
Thiocyanic acid,ChemicalCompoundElement,['carbon']
Thiocyanic acid,ChemicalCompoundElement,['nitrogen']
Thiocyanic acid,ChemicalCompoundElement,['sulfur']
Progesterone,ChemicalCompoundElement,['carbon']
Budipine,ChemicalCompoundElement,['carbon']
Budipine,ChemicalCompoundElement,['nitrogen']
Tropisetron,ChemicalCompoundElement,['carbon']
Tropisetron,ChemicalCompoundElement,['nitrogen']
Tropisetron,ChemicalCompoundElement,['oxygen']
Gallium trichloride,ChemicalCompoundElement,['chlorine']
Gallium trichloride,ChemicalCompoundElement,['gallium']
Sirolimus,ChemicalCompoundElement,['hydrogen']
Sirolimus,ChemicalCompoundElement,['carbon']
Sirolimus,ChemicalCompoundElement,['nitrogen']
Sirolimus,ChemicalCompoundElement,['oxygen']
Vanillin,ChemicalCompoundElement,['carbon']
Vanillin,ChemicalCompoundElement,['oxygen']
Methane,ChemicalCompoundElement,['hydrogen']
Methane,ChemicalCompoundElement,['carbon']
Nifedipine,ChemicalCompoundElement,['carbon']
Nifedipine,ChemicalCompoundElement,['nitrogen']
Nifedipine,ChemicalCompoundElement,['oxygen']
Urea,ChemicalCompoundElement,['carbon']
Urea,ChemicalCompoundElement,['oxygen']
Cesium fluoride,ChemicalCompoundElement,['fluorine']
Cesium fluoride,ChemicalCompoundElement,['caesium']
Cesium iodide,ChemicalCompoundElement,['iodine']
Cesium iodide,ChemicalCompoundElement,['caesium']
Xanthine,ChemicalCompoundElement,['carbon']
Xanthine,ChemicalCompoundElement,['oxygen']
Benzyl alcohol,ChemicalCompoundElement,['carbon']
Benzyl alcohol,ChemicalCompoundElement,['oxygen']
Ethane,ChemicalCompoundElement,['carbon']
Thioridazine,ChemicalCompoundElement,['carbon']
Thioridazine,ChemicalCompoundElement,['sulfur']
Amitriptyline,ChemicalCompoundElement,['carbon']
Zinc phosphate,ChemicalCompoundElement,['oxygen']
Zinc phosphate,ChemicalCompoundElement,['phosphorus']
Zinc phosphate,ChemicalCompoundElement,['zinc']
Acetaldehyde,ChemicalCompoundElement,['hydrogen']
Acetaldehyde,ChemicalCompoundElement,['carbon']
Acetaldehyde,ChemicalCompoundElement,['oxygen']
Methenamine,ChemicalCompoundElement,['hydrogen']
Methenamine,ChemicalCompoundElement,['carbon']
Methenamine,ChemicalCompoundElement,['nitrogen']
Cyclobutane,ChemicalCompoundElement,['hydrogen']
Cyclobutane,ChemicalCompoundElement,['carbon']
Morphine,ChemicalCompoundElement,['hydrogen']
Morphine,ChemicalCompoundElement,['carbon']
Morphine,ChemicalCompoundElement,['nitrogen']
Morphine,ChemicalCompoundElement,['oxygen']
Bismuth subsalicylate,ChemicalCompoundElement,['bismuth']
Chlorophyll d,ChemicalCompoundElement,['hydrogen']
Chlorophyll d,ChemicalCompoundElement,['carbon']
Chlorophyll d,ChemicalCompoundElement,['nitrogen']
Chlorophyll d,ChemicalCompoundElement,['oxygen']
Chlorophyll d,ChemicalCompoundElement,['magnesium']
Triacetin,ChemicalCompoundElement,['carbon']
Triacetin,ChemicalCompoundElement,['oxygen']
Nitric acid,ChemicalCompoundElement,['hydrogen']
Nitric acid,ChemicalCompoundElement,['nitrogen']
Nitric acid,ChemicalCompoundElement,['oxygen']
Calcium peroxide,ChemicalCompoundElement,['oxygen']
Calcium peroxide,ChemicalCompoundElement,['calcium']
Cupric sulfate,ChemicalCompoundElement,['oxygen']
Cupric sulfate,ChemicalCompoundElement,['sulfur']
Cupric sulfate,ChemicalCompoundElement,['copper']
Lead azide,ChemicalCompoundElement,['nitrogen']
Lead azide,ChemicalCompoundElement,['lead']
Gluconolactone,ChemicalCompoundElement,['hydrogen']
Gluconolactone,ChemicalCompoundElement,['carbon']
Gluconolactone,ChemicalCompoundElement,['oxygen']
Disilane,ChemicalCompoundElement,['hydrogen']
Disilane,ChemicalCompoundElement,['silicon']
Potassium iodide,ChemicalCompoundElement,['potassium']
Potassium iodide,ChemicalCompoundElement,['iodine']
Titanium tetrafluoride,ChemicalCompoundElement,['fluorine']
Titanium tetrafluoride,ChemicalCompoundElement,['titanium']
Zirconyl chloride,ChemicalCompoundElement,['oxygen']
Zirconyl chloride,ChemicalCompoundElement,['chlorine']
Zirconyl chloride,ChemicalCompoundElement,['zirconium']
Potassium hydroxide,ChemicalCompoundElement,['hydrogen']
Potassium hydroxide,ChemicalCompoundElement,['oxygen']
Potassium hydroxide,ChemicalCompoundElement,['potassium']
Oxepin,ChemicalCompoundElement,['carbon']
Oxepin,ChemicalCompoundElement,['oxygen']
Strontium hydroxide,ChemicalCompoundElement,['hydrogen']
Strontium hydroxide,ChemicalCompoundElement,['oxygen']
Strontium hydroxide,ChemicalCompoundElement,['strontium']
Glycerol,ChemicalCompoundElement,['hydrogen']
Glycerol,ChemicalCompoundElement,['carbon']
Glycerol,ChemicalCompoundElement,['oxygen']
Glycerol,ChemicalCompoundElement,['glyceryl']
Copper hydride,ChemicalCompoundElement,['hydrogen']
Niacin,ChemicalCompoundElement,['hydrogen']
Niacin,ChemicalCompoundElement,['carbon']
Niacin,ChemicalCompoundElement,['nitrogen']
Niacin,ChemicalCompoundElement,['oxygen']
Harmaline,ChemicalCompoundElement,['carbon']
Harmaline,ChemicalCompoundElement,['nitrogen']
Harmaline,ChemicalCompoundElement,['oxygen']
Tetrasulfur tetranitride,ChemicalCompoundElement,['nitrogen']
Tetrasulfur tetranitride,ChemicalCompoundElement,['sulfur']
Inositol trisphosphate,ChemicalCompoundElement,['carbon']
Chloric acid,ChemicalCompoundElement,['hydrogen']
Chloric acid,ChemicalCompoundElement,['oxygen']
Chloric acid,ChemicalCompoundElement,['chlorine']
Biguanide,ChemicalCompoundElement,['carbon']
Biguanide,ChemicalCompoundElement,['nitrogen']
Mercuric chloride,ChemicalCompoundElement,['chlorine']
Mercuric chloride,ChemicalCompoundElement,['mercury']
Pimozide,ChemicalCompoundElement,['carbon']
Pimozide,ChemicalCompoundElement,['fluorine']
Zanamivir,ChemicalCompoundElement,['carbon']
Zanamivir,ChemicalCompoundElement,['nitrogen']
Hexane,ChemicalCompoundElement,['hydrogen']
Hexane,ChemicalCompoundElement,['carbon']
Undecane,ChemicalCompoundElement,['hydrogen']
Undecane,ChemicalCompoundElement,['carbon']
Dodecane,ChemicalCompoundElement,['carbon']
Tridecane,ChemicalCompoundElement,['hydrogen']
Tridecane,ChemicalCompoundElement,['carbon']
Octadecane,ChemicalCompoundElement,['carbon']
Docosane,ChemicalCompoundElement,['carbon']
Propylene,ChemicalCompoundElement,['hydrogen']
Propylene,ChemicalCompoundElement,['carbon']
Propylene,ChemicalCompoundElement,['oxygen']
Decene,ChemicalCompoundElement,['carbon']
Methylacetylene,ChemicalCompoundElement,['carbon']
Trimethyl phosphite,ChemicalCompoundElement,['hydrogen']
Trimethyl phosphite,ChemicalCompoundElement,['carbon']
Trimethyl phosphite,ChemicalCompoundElement,['oxygen']
Trimethyl phosphite,ChemicalCompoundElement,['phosphorus']
Valsartan,ChemicalCompoundElement,['carbon']
Valsartan,ChemicalCompoundElement,['nitrogen']
Formic acid,ChemicalCompoundElement,['hydrogen']
Formic acid,ChemicalCompoundElement,['carbon']
Formic acid,ChemicalCompoundElement,['oxygen']
Ethylidene chloride,ChemicalCompoundElement,['carbon']
Ethylidene chloride,ChemicalCompoundElement,['chlorine']
Eucalyptol,ChemicalCompoundElement,['carbon']
Nitroglycerin,ChemicalCompoundElement,['hydrogen']
Nitroglycerin,ChemicalCompoundElement,['carbon']
Nitroglycerin,ChemicalCompoundElement,['nitrogen']
Nitroglycerin,ChemicalCompoundElement,['oxygen']
Nitroglycerin,ChemicalCompoundElement,['glyceryl']
Tyramine,ChemicalCompoundElement,['hydrogen']
Tyramine,ChemicalCompoundElement,['carbon']
Tyramine,ChemicalCompoundElement,['nitrogen']
Tyramine,ChemicalCompoundElement,['oxygen']
Ibandronic acid,ChemicalCompoundElement,['carbon']
Ibandronic acid,ChemicalCompoundElement,['phosphorus']
Serotonin,ChemicalCompoundElement,['hydrogen']
Serotonin,ChemicalCompoundElement,['carbon']
Serotonin,ChemicalCompoundElement,['nitrogen']
Serotonin,ChemicalCompoundElement,['oxygen']
Guanine,ChemicalCompoundElement,['hydrogen']
Guanine,ChemicalCompoundElement,['carbon']
Guanine,ChemicalCompoundElement,['nitrogen']
Guanine,ChemicalCompoundElement,['oxygen']
Oxytocin,ChemicalCompoundElement,['carbon']
Oxytocin,ChemicalCompoundElement,['nitrogen']
Hydrogen sulfide,ChemicalCompoundElement,['hydrogen']
Hydrogen sulfide,ChemicalCompoundElement,['sulfur']
Phytane,ChemicalCompoundElement,['carbon']
Hydrogen peroxide,ChemicalCompoundElement,['hydrogen']
Hydrogen peroxide,ChemicalCompoundElement,['oxygen']
Thymine,ChemicalCompoundElement,['hydrogen']
Thymine,ChemicalCompoundElement,['carbon']
