SubjectEntity,relation,ObjectEntity
Apple inc.,CompanyParentOrganization,"['NONE']"
Microsoft,CompanyParentOrganization,"['NONE']"
Waymo,CompanyParentOrganization,"['alphabet inc.', 'alphabet']"
Audi,CompanyParentOrganization,"['volkswagen group', 'volkswagen']"
Eraz,CompanyParentOrganization,"['NONE']"
Bmw,CompanyParentOrganization,"['NONE']"
Abarth,CompanyParentOrganization,"['stellantis', 'stellantis italy']"
Abbott-detroit,CompanyParentOrganization,"['NONE']"
Ac cars,CompanyParentOrganization,"['NONE']"
Aero,CompanyParentOrganization,"['NONE']"
Alfa romeo,CompanyParentOrganization,"['stellantis']"
Alpine,CompanyParentOrganization,"['renault']"
Mercedes-amg,CompanyParentOrganization,"['mercedes-benz', 'mercedes-benz group']"
Aro,CompanyParentOrganization,"['NONE']"
Autobianchi,CompanyParentOrganization,"['fiat']"
Avia,CompanyParentOrganization,"['ashok leyland']"
Avia,CompanyParentOrganization,"['czechoslovak group', 'czechoslovak']"
Avia,CompanyParentOrganization,"['daewoo']"
Auto union,CompanyParentOrganization,"['NONE']"
Barkas,CompanyParentOrganization,"['industrieverband fahrzeugbau']"
Bentley,CompanyParentOrganization,"['volkswagen group', 'volkswagen']"
Bitter automobile,CompanyParentOrganization,"['NONE']"
Borgward,CompanyParentOrganization,"['NONE']"
Bristol cars,CompanyParentOrganization,"['kamkorp']"
Byd auto,CompanyParentOrganization,"['byd', 'byd company']"
Dacia,CompanyParentOrganization,"['renault']"
Dacia,CompanyParentOrganization,"['renault-nissan-mitsubishi', 'renault–nissan–mitsubishi alliance']"
Daewoo,CompanyParentOrganization,"['NONE']"
Daf,CompanyParentOrganization,"['paccar']"
Daihatsu,CompanyParentOrganization,"['toyota']"
Mercedes-benz group,CompanyParentOrganization,"['NONE']"
Daimler company,CompanyParentOrganization,"['birmingham small arms', 'birmingham small arms company']"
Daimler company,CompanyParentOrganization,"['jaguar cars']"
Daimler company,CompanyParentOrganization,"['daimler motorsoration', 'daimler motors corporation', 'daimler']"
Daimler company,CompanyParentOrganization,"['ford', 'ford of europe']"
Daimler company,CompanyParentOrganization,"['tata motors', 'tata motors ltd', 'tata']"
Dodge,CompanyParentOrganization,"['stellantis', 'stellantis north america']"
Ferrari s.p.a.,CompanyParentOrganization,"['ferrari', 'ferrari n.v.']"
Fiat,CompanyParentOrganization,"['stellantis']"
Fabryka samochodów małolitrażowych,CompanyParentOrganization,"['fiat']"
Holden,CompanyParentOrganization,"['general motors', 'gm']"
Chrysler,CompanyParentOrganization,"['NONE']"
Isuzu,CompanyParentOrganization,"['NONE']"
At&t,CompanyParentOrganization,"['NONE']"
Koenigsegg,CompanyParentOrganization,"['NONE']"
Lamborghini,CompanyParentOrganization,"['audi']"
Lancia,CompanyParentOrganization,"['stellantis italy', 'stellantis']"
Land rover,CompanyParentOrganization,"['tata motors', 'tata motors ltd', 'tata']"
Land rover,CompanyParentOrganization,"['british leyland']"
Land rover,CompanyParentOrganization,"['ford motor company', 'ford motor', 'ford']"
Land rover,CompanyParentOrganization,"['bmw']"
Mitsubishi motors,CompanyParentOrganization,"['mitsubishi group', 'mitsubishi']"
Mtx,CompanyParentOrganization,"['NONE']"
Ibm,CompanyParentOrganization,"['NONE']"
Oltcit,CompanyParentOrganization,"['citroen', 'citroën']"
Porsche,CompanyParentOrganization,"['volkswagen group', 'volkswagen']"
Praga,CompanyParentOrganization,"['NONE']"
Rayton fissore,CompanyParentOrganization,"['NONE']"
Sony,CompanyParentOrganization,"['sony group', 'sony']"
Ford motor company,CompanyParentOrganization,"['NONE']"
Alphi,CompanyParentOrganization,"['NONE']"
Ruxton,CompanyParentOrganization,"['NONE']"
Tvr,CompanyParentOrganization,"['NONE']"
Saab,CompanyParentOrganization,"['general motors']"
Saab,CompanyParentOrganization,"['national electric vehicle sweden', 'nevs']"
Saab,CompanyParentOrganization,"['spyker n.v.']"
Saab,CompanyParentOrganization,"['saab-scania']"
Saab,CompanyParentOrganization,"['saab', 'saab group']"
Ericsson,CompanyParentOrganization,"['NONE']"
Adler,CompanyParentOrganization,"['NONE']"
Hitachi,CompanyParentOrganization,"['NONE']"
Vignale,CompanyParentOrganization,"['ford motor company', 'ford motor', 'ford']"
Hyundai motor group,CompanyParentOrganization,"['NONE']"
Zaz,CompanyParentOrganization,"['ukrainian automobile corporation', 'ukrainian automobileoration']"
Aichi,CompanyParentOrganization,"['NONE']"
Max motors,CompanyParentOrganization,"['NONE']"
Clénet coachworks,CompanyParentOrganization,"['NONE']"
Lea-francis,CompanyParentOrganization,"['NONE']"
David,CompanyParentOrganization,"['NONE']"
Aldi,CompanyParentOrganization,"['NONE']"
Alcoa,CompanyParentOrganization,"['NONE']"
Zato vehicles,CompanyParentOrganization,"['NONE']"
Asus,CompanyParentOrganization,"['NONE']"
Messerschmitt,CompanyParentOrganization,"['NONE']"
Huawei,CompanyParentOrganization,"['NONE']"
Velie,CompanyParentOrganization,"['NONE']"
Hexe,CompanyParentOrganization,"['NONE']"
Umm,CompanyParentOrganization,"['NONE']"
Ginetta cars,CompanyParentOrganization,"['NONE']"
Nedcar,CompanyParentOrganization,"['vdl groep']"
Unic,CompanyParentOrganization,"['fiat industrial vehicles', 'fiat']"
Automobiles gonfaronnaises sportives,CompanyParentOrganization,"['NONE']"
Osella,CompanyParentOrganization,"['NONE']"
English racing automobiles,CompanyParentOrganization,"['NONE']"
Subaru,CompanyParentOrganization,"['subaruoration', 'subaru corporation', 'subaru']"
De tomaso,CompanyParentOrganization,"['NONE']"
Gordini,CompanyParentOrganization,"['renault']"
Automobili turismo e sport,CompanyParentOrganization,"['NONE']"
Bmw m,CompanyParentOrganization,"['bmw']"
Pope-toledo,CompanyParentOrganization,"['NONE']"
Ariès,CompanyParentOrganization,"['NONE']"
Blu,CompanyParentOrganization,"['wind (italy)', 'wind']"
Stellantis north america,CompanyParentOrganization,"['fiat chrysler automobiles', 'fiat', 'chrysler']"
Stellantis north america,CompanyParentOrganization,"['fiat s.p.a.', 'fiat']"
Stellantis north america,CompanyParentOrganization,"['mercedes-benz', 'mercedes-benz group']"
Stellantis north america,CompanyParentOrganization,"['cerberus capital management', 'cerberus']"
Stellantis north america,CompanyParentOrganization,"['stellantis']"
Suzuki,CompanyParentOrganization,"['NONE']"
Zeddeco,CompanyParentOrganization,"['NONE']"
Zeiller & fournier,CompanyParentOrganization,"['NONE']"
Seat,CompanyParentOrganization,"['volkswagen group', 'volkswagen']"
Tata motors ltd,CompanyParentOrganization,"['NONE']"
Zeno galassi,CompanyParentOrganization,"['NONE']"
Zentralmobil,CompanyParentOrganization,"['NONE']"
Louis vuitton,CompanyParentOrganization,"['lvmh']"
Prada,CompanyParentOrganization,"['NONE']"
Texas instruments,CompanyParentOrganization,"['NONE']"
Zetgelette,CompanyParentOrganization,"['NONE']"
