SubjectEntity,relation,ObjectEntity
Volkswagen,CompanySubsidiary,['NONE']
Apple inc.,CompanySubsidiary,['apple (germany)']
Apple inc.,CompanySubsidiary,['prismo graphics']
Apple inc.,CompanySubsidiary,"['siri', 'siri inc.']"
Apple inc.,CompanySubsidiary,['braeburn capital']
Apple inc.,CompanySubsidiary,"['filemaker', 'filemaker, inc.']"
Apple inc.,CompanySubsidiary,['anobit']
Apple inc.,CompanySubsidiary,['claris']
Apple inc.,CompanySubsidiary,['fingerworks']
Apple inc.,CompanySubsidiary,['apple (israel)']
Apple inc.,CompanySubsidiary,['schemasoft']
Apple inc.,CompanySubsidiary,['authentec']
Apple inc.,CompanySubsidiary,['raycer']
Apple inc.,CompanySubsidiary,['beats electronics']
Apple inc.,CompanySubsidiary,['apple sales international']
Apple inc.,CompanySubsidiary,['apple store']
Apple inc.,CompanySubsidiary,['apple czech']
Lada zapad tolyatti,CompanySubsidiary,['NONE']
Avtovaz,CompanySubsidiary,['lada zapad tolyatti']
Avtovaz,CompanySubsidiary,['lada']
Renault,CompanySubsidiary,['renault']
Renault,CompanySubsidiary,"['renault česká republika', 'renault ceska republika']"
Renault,CompanySubsidiary,"['renault retail', 'renault retail group']"
Renault,CompanySubsidiary,"['renault espana', 'renault españa']"
Renault,CompanySubsidiary,['somaca']
Renault,CompanySubsidiary,['fonderie de bretagne']
Renault,CompanySubsidiary,['oyak-renault']
Renault,CompanySubsidiary,['renault argentina']
Renault,CompanySubsidiary,['renault do brasil']
Renault,CompanySubsidiary,['alpine']
Renault,CompanySubsidiary,['dacia']
Renault,CompanySubsidiary,['alliance rostec auto']
Renault,CompanySubsidiary,"['francaise de mecanique', 'française de mécanique']"
Renault,CompanySubsidiary,['sofasa']
Renault,CompanySubsidiary,['renault india private limited']
Renault,CompanySubsidiary,['rci finance cz']
Renault,CompanySubsidiary,"['renault-nissan-mitsubishi alliance', 'renault–nissan–mitsubishi alliance']"
Renault,CompanySubsidiary,['revoz']
Renault,CompanySubsidiary,['renault russia']
