SubjectEntity,relation,ObjectEntity
Afghanistan,CountryBordersWithCountry,['pakistan']
Afghanistan,CountryBordersWithCountry,['iran']
Afghanistan,CountryBordersWithCountry,['uzbekistan']
Afghanistan,CountryBordersWithCountry,"['china', ""people's republic of china""]"
Afghanistan,CountryBordersWithCountry,['tajikistan']
Afghanistan,CountryBordersWithCountry,['turkmenistan']
Albania,CountryBordersWithCountry,['greece']
Albania,CountryBordersWithCountry,"['north macedonia', 'macedonia']"
Albania,CountryBordersWithCountry,['montenegro']
Albania,CountryBordersWithCountry,['serbia']
Albania,CountryBordersWithCountry,['kosovo']
Argentina,CountryBordersWithCountry,['paraguay']
Argentina,CountryBordersWithCountry,['chile']
Argentina,CountryBordersWithCountry,['uruguay']
Argentina,CountryBordersWithCountry,['brazil']
Argentina,CountryBordersWithCountry,['bolivia']
Armenia,CountryBordersWithCountry,['iran']
Armenia,CountryBordersWithCountry,['georgia']
Armenia,CountryBordersWithCountry,['azerbaijan']
Armenia,CountryBordersWithCountry,['turkey']
Austria,CountryBordersWithCountry,['hungary']
Austria,CountryBordersWithCountry,['slovenia']
Austria,CountryBordersWithCountry,['slovakia']
Austria,CountryBordersWithCountry,"['czechia', 'czech republic']"
Austria,CountryBordersWithCountry,['germany']
Austria,CountryBordersWithCountry,['switzerland']
Austria,CountryBordersWithCountry,['italy']
Austria,CountryBordersWithCountry,['liechtenstein']
Azerbaijan,CountryBordersWithCountry,"['republic of artsakh', 'artsakh']"
Azerbaijan,CountryBordersWithCountry,['iran']
Azerbaijan,CountryBordersWithCountry,['armenia']
Azerbaijan,CountryBordersWithCountry,['russia']
Azerbaijan,CountryBordersWithCountry,['turkey']
Azerbaijan,CountryBordersWithCountry,['georgia']
Bangladesh,CountryBordersWithCountry,['myanmar']
Bangladesh,CountryBordersWithCountry,['india']
Belarus,CountryBordersWithCountry,['ukraine']
Belarus,CountryBordersWithCountry,['latvia']
Belarus,CountryBordersWithCountry,['lithuania']
Belarus,CountryBordersWithCountry,['poland']
Belarus,CountryBordersWithCountry,['russia']
Benin,CountryBordersWithCountry,['burkina faso']
Benin,CountryBordersWithCountry,['niger']
Benin,CountryBordersWithCountry,['togo']
Benin,CountryBordersWithCountry,['nigeria']
Bhutan,CountryBordersWithCountry,"['china', ""people's republic of china""]"
Bhutan,CountryBordersWithCountry,['india']
Brazil,CountryBordersWithCountry,['guyana']
Brazil,CountryBordersWithCountry,['paraguay']
Brazil,CountryBordersWithCountry,['suriname']
Brazil,CountryBordersWithCountry,['bolivia']
Brazil,CountryBordersWithCountry,['peru']
Brazil,CountryBordersWithCountry,['colombia']
Brazil,CountryBordersWithCountry,['france']
Brazil,CountryBordersWithCountry,['uruguay']
Brazil,CountryBordersWithCountry,['venezuela']
Brazil,CountryBordersWithCountry,['french guiana']
Brazil,CountryBordersWithCountry,['argentina']
Burundi,CountryBordersWithCountry,['tanzania']
Burundi,CountryBordersWithCountry,"['congo', 'democratic republic of the congo']"
Burundi,CountryBordersWithCountry,['rwanda']
Cambodia,CountryBordersWithCountry,['thailand']
Cambodia,CountryBordersWithCountry,['vietnam']
Cambodia,CountryBordersWithCountry,['laos']
Cameroon,CountryBordersWithCountry,['chad']
Cameroon,CountryBordersWithCountry,"['africa', 'central african republic']"
Cameroon,CountryBordersWithCountry,"['republic of the congo', 'congo']"
Cameroon,CountryBordersWithCountry,"['equatorial guinea', 'guinea']"
Cameroon,CountryBordersWithCountry,['nigeria']
Cameroon,CountryBordersWithCountry,['gabon']
Canada,CountryBordersWithCountry,['greenland']
Canada,CountryBordersWithCountry,"['usa', 'united states of america']"
Cape Verde,CountryBordersWithCountry,['NONE']
Chad,CountryBordersWithCountry,"['africa', 'central african republic']"
Chad,CountryBordersWithCountry,['cameroon']
Chad,CountryBordersWithCountry,['libya']
Chad,CountryBordersWithCountry,['niger']
Chad,CountryBordersWithCountry,['sudan']
Chad,CountryBordersWithCountry,['nigeria']
Chile,CountryBordersWithCountry,['argentina']
Chile,CountryBordersWithCountry,['peru']
Chile,CountryBordersWithCountry,['bolivia']
Colombia,CountryBordersWithCountry,['nicaragua']
Colombia,CountryBordersWithCountry,['ecuador']
Colombia,CountryBordersWithCountry,['venezuela']
Colombia,CountryBordersWithCountry,['peru']
Colombia,CountryBordersWithCountry,['panama']
Colombia,CountryBordersWithCountry,['brazil']
Croatia,CountryBordersWithCountry,['montenegro']
Croatia,CountryBordersWithCountry,['bosnia and herzegovina']
Croatia,CountryBordersWithCountry,['liberland']
Croatia,CountryBordersWithCountry,['serbia']
Croatia,CountryBordersWithCountry,['hungary']
Croatia,CountryBordersWithCountry,['slovenia']
Cyprus,CountryBordersWithCountry,['turkish republic of northern cyprus']
Cyprus,CountryBordersWithCountry,['akrotiri and dhekelia']
Cyprus,CountryBordersWithCountry,['israel']
Democratic republic of the congo,CountryBordersWithCountry,"['republic of the congo', 'congo']"
Democratic republic of the congo,CountryBordersWithCountry,['angola']
