SubjectEntity,relation,ObjectEntity
Bob marley,PersonCauseOfDeath,"['melanoma']"
Michael jackson,PersonCauseOfDeath,"['myocardial infarction', 'infarction']"
Michael jackson,PersonCauseOfDeath,"['combined drug intoxication', 'intoxication']"
John mccain,PersonCauseOfDeath,"['glioblastoma']"
David bowie,PersonCauseOfDeath,"['liver cancer', 'cancer']"
Tupac shakur,PersonCauseOfDeath,"['drive-by', 'homicide', 'murder']"
Lata mangeshkar,PersonCauseOfDeath,"['multiple organ dysfunction syndrome']"
Jimi hendrix,PersonCauseOfDeath,"['pulmonary emphysema', 'emphysema']"
Janis joplin,PersonCauseOfDeath,"['opioid overdose', 'overdose']"
Amy winehouse,PersonCauseOfDeath,"['intoxication']"
John lewis,PersonCauseOfDeath,"['pancreatic cancer', 'cancer']"
Mac miller,PersonCauseOfDeath,"['drug overdose', 'overdose']"
John mcafee,PersonCauseOfDeath,"['hanging']"
Muhammad ali,PersonCauseOfDeath,"['respiratory disease']"
Stan lee,PersonCauseOfDeath,"['infarction', 'acute myocardial infarction']"
Bob saget,PersonCauseOfDeath,"['blunt trauma', 'trauma']"
Bob saget,PersonCauseOfDeath,"['head injury', 'injury']"
Vivek,PersonCauseOfDeath,"['cardiac arrest']"
Aaliyah,PersonCauseOfDeath,"['accident', 'aviation accident']"
Louis armstrong,PersonCauseOfDeath,"['myocardial infarction', 'infarction']"
Chespirito,PersonCauseOfDeath,"['myocardial infarction', 'infarction']"
Prince,PersonCauseOfDeath,"['fentanyl toxicity', 'toxicity']"
Carrie fisher,PersonCauseOfDeath,"['myocardial infarction', 'infarction']"
George michael,PersonCauseOfDeath,"['dilated cardiomyopathy', 'cardiomyopathy']"
George michael,PersonCauseOfDeath,"['fatty liver disease']"
Elizabeth taylor,PersonCauseOfDeath,"['congestive heart failure', 'heart failure']"
Sushma swaraj,PersonCauseOfDeath,"['cardiac arrest']"
Naya rivera,PersonCauseOfDeath,"['drowning']"
Chris cornell,PersonCauseOfDeath,"['hanging']"
Irrfan khan,PersonCauseOfDeath,"['tumor', 'neuroendocrine tumor']"
Pierre nkurunziza,PersonCauseOfDeath,"['cardiac arrest']"
Pierre nkurunziza,PersonCauseOfDeath,"['covid-19', 'covid']"
Leon allen white,PersonCauseOfDeath,"['pneumonia']"
Leon allen white,PersonCauseOfDeath,"['heart failure']"
Roger ebert,PersonCauseOfDeath,"['thyroid cancer', 'cancer']"
Jenni rivera,PersonCauseOfDeath,"['aircraft crash', 'crash']"
Cameron boyce,PersonCauseOfDeath,"['sudden unexpected death in epilepsy', 'epilepsy']"
Grant imahara,PersonCauseOfDeath,"['intracranial aneurysm', 'aneurysm']"
Philipp mißfelder,PersonCauseOfDeath,"['pulmonary embolism', 'embolism']"
Roh hoe-chan,PersonCauseOfDeath,"['falling']"
Gilbert gottfried,PersonCauseOfDeath,"['ventricular tachycardia', 'tachycardia']"
Rush limbaugh,PersonCauseOfDeath,"['cancer', 'lung cancer']"
Charlie daniels,PersonCauseOfDeath,"['stroke']"
Shintarō ishihara,PersonCauseOfDeath,"['pancreatic cancer', 'cancer']"
Madeleine albright,PersonCauseOfDeath,"['cancer']"
Raffaella carrà,PersonCauseOfDeath,"['cancer', 'lung cancer']"
Terry jones,PersonCauseOfDeath,"['frontotemporal dementia', 'dementia']"
Tom petty,PersonCauseOfDeath,"['cardiac arrest']"
Paul g. allen,PersonCauseOfDeath,"['non-hodgkin lymphoma', 'lymphoma']"
Jamal khashoggi,PersonCauseOfDeath,"['murder']"
Tabaré vázquez,PersonCauseOfDeath,"['cancer', 'lung cancer']"
Martin mcguinness,PersonCauseOfDeath,"['amyloidosis']"
Merle haggard,PersonCauseOfDeath,"['pneumonia']"
Sayaka kanda,PersonCauseOfDeath,"['shock']"
Sayaka kanda,PersonCauseOfDeath,"['suicide by jumping from height', 'suicide']"
Herman cain,PersonCauseOfDeath,"['covid-19', 'covid']"
Anne rice,PersonCauseOfDeath,"['stroke']"
Wes craven,PersonCauseOfDeath,"['brain cancer', 'cancer']"
Eduardo galeano,PersonCauseOfDeath,"['cancer', 'lung cancer']"
Dan kaminsky,PersonCauseOfDeath,"['diabetic ketoacidosis', 'ketoacidosis']"
Sarah harding,PersonCauseOfDeath,"['cancer', 'breast cancer']"
Michael collins,PersonCauseOfDeath,"['cancer']"
Jules bianchi,PersonCauseOfDeath,"['diffuse axonal injury', 'injury']"
Kazuo koike,PersonCauseOfDeath,"['pneumonia']"
Norm macdonald,PersonCauseOfDeath,"['cancer']"
Fred willard,PersonCauseOfDeath,"['cardiac arrest']"
Fred willard,PersonCauseOfDeath,"['coronary artery disease']"
Fred willard,PersonCauseOfDeath,"['myelodysplastic syndrome']"
John mayer,PersonCauseOfDeath,"['traffic collision', 'collision']"
