SubjectEntity,relation,ObjectEntity
Justin Timberlake,PersonInstrument,['piano']
Justin Timberlake,PersonInstrument,['guitar']
Justin Timberlake,PersonInstrument,"['keyboard instrument', 'keyboard']"
Justin Timberlake,PersonInstrument,['beatboxing']
Ringo Starr,PersonInstrument,['guitar']
Ringo Starr,PersonInstrument,['drum']
Ringo Starr,PersonInstrument,"['drum', 'drum kit']"
Ringo Starr,PersonInstrument,"['percussion instrument', 'percussion']"
Bruce Springsteen,PersonInstrument,['piano']
Bruce Springsteen,PersonInstrument,['guitar']
Bruce Springsteen,PersonInstrument,['harmonica']
David Bowie,PersonInstrument,['piano']
David Bowie,PersonInstrument,['guitar']
David Bowie,PersonInstrument,['saxophone']
David Bowie,PersonInstrument,"['keyboard instrument', 'keyboard']"
David Bowie,PersonInstrument,"['drum', 'drum kit']"
David Bowie,PersonInstrument,"['keyboard', 'musical keyboard']"
David Bowie,PersonInstrument,"['arp 2500', 'arp']"
Neil Young,PersonInstrument,['guitar']
Axl Rose,PersonInstrument,['piano']
Axl Rose,PersonInstrument,['guitar']
Axl Rose,PersonInstrument,['bass']
Axl Rose,PersonInstrument,['pander']
James Maslow,PersonInstrument,['piano']
James Maslow,PersonInstrument,['guitar']
James Maslow,PersonInstrument,"['drum', 'drum kit']"
Brian May,PersonInstrument,['piano']
Brian May,PersonInstrument,['guitar']
Brian May,PersonInstrument,"['bass guitar', 'guitar']"
Brian May,PersonInstrument,"['keyboard instrument', 'keyboard']"
Carlos PenaVega,PersonInstrument,['ukulele']
Ricky Martin,PersonInstrument,['NONE']
Hayley Williams,PersonInstrument,['piano']
Hayley Williams,PersonInstrument,['guitar']
Hayley Williams,PersonInstrument,"['bass guitar', 'guitar']"
Hayley Williams,PersonInstrument,"['keyboard instrument', 'keyboard']"
Hayley Williams,PersonInstrument,"['drum', 'drum kit']"
Niall Horan,PersonInstrument,['piano']
Niall Horan,PersonInstrument,['guitar']
Ozzy Osbourne,PersonInstrument,['harmonica']
Ozzy Osbourne,PersonInstrument,"['keyboard instrument', 'keyboard']"
Tablo,PersonInstrument,['NONE']
Mick Jagger,PersonInstrument,['piano']
Mick Jagger,PersonInstrument,['guitar']
Mick Jagger,PersonInstrument,['harmonica']
Mick Jagger,PersonInstrument,"['piano', 'upright piano']"
Lee Dong-hae,PersonInstrument,['piano']
Chris Cornell,PersonInstrument,['piano']
Chris Cornell,PersonInstrument,['guitar']
Chris Cornell,PersonInstrument,['violin']
Chris Cornell,PersonInstrument,"['bass guitar', 'guitar']"
Chris Cornell,PersonInstrument,['harmonica']
Chris Cornell,PersonInstrument,"['drum', 'drum kit']"
Chris Cornell,PersonInstrument,['mandolin']
Liam Gallagher,PersonInstrument,['guitar']
Liam Gallagher,PersonInstrument,['maraca']
Choi Siwon,PersonInstrument,['NONE']
Marisa Monte,PersonInstrument,['guitar']
Liam Payne,PersonInstrument,['piano']
Liam Payne,PersonInstrument,['guitar']
Henry Lau,PersonInstrument,['piano']
Henry Lau,PersonInstrument,['guitar']
Henry Lau,PersonInstrument,['violin']
Henry Lau,PersonInstrument,['drum']
Marilyn Manson,PersonInstrument,['piano']
Marilyn Manson,PersonInstrument,['guitar']
Marilyn Manson,PersonInstrument,['saxophone']
Marilyn Manson,PersonInstrument,"['bass guitar', 'guitar']"
Amy Lee,PersonInstrument,['piano']
Amy Lee,PersonInstrument,['guitar']
Amy Lee,PersonInstrument,['harp']
Amy Lee,PersonInstrument,['pipe organ']
Matt Bellamy,PersonInstrument,['piano']
Matt Bellamy,PersonInstrument,['guitar']
Matt Bellamy,PersonInstrument,['clarinet']
Matt Bellamy,PersonInstrument,"['keyboard instrument', 'keyboard']"
Matt Bellamy,PersonInstrument,['mandolin']
Matt Bellamy,PersonInstrument,"['keyboard', 'musical keyboard']"
Matt Bellamy,PersonInstrument,['keytar']
Yesung,PersonInstrument,['piano']
Willie Nelson,PersonInstrument,['guitar']
Willie Nelson,PersonInstrument,"['acoustic guitar', 'guitar']"
Willie Nelson,PersonInstrument,"['electric guitar', 'guitar']"
Willie Nelson,PersonInstrument,"['guitar', 'classical guitar']"
Willie Nelson,PersonInstrument,"['steel-string acoustic guitar', 'guitar']"
Harry Styles,PersonInstrument,['guitar']
Steven Tyler,PersonInstrument,['harmonica']
Leeteuk,PersonInstrument,['piano']
Gene Simmons,PersonInstrument,['guitar']
Gene Simmons,PersonInstrument,"['bass guitar', 'guitar']"
Jung Yong-hwa,PersonInstrument,['guitar']
Sandara Park,PersonInstrument,['NONE']
David Coverdale,PersonInstrument,['guitar']
David Coverdale,PersonInstrument,"['bass guitar', 'guitar']"
David Coverdale,PersonInstrument,"['keyboard instrument', 'keyboard']"
David Coverdale,PersonInstrument,"['percussion instrument', 'percussion']"
Billy Idol,PersonInstrument,['guitar']
Billy Idol,PersonInstrument,"['bass guitar', 'guitar']"
Yui Yokoyama,PersonInstrument,['trumpet']
Zakk Wylde,PersonInstrument,['guitar']
Phil Collins,PersonInstrument,['piano']
Phil Collins,PersonInstrument,['guitar']
Phil Collins,PersonInstrument,['trumpet']
Phil Collins,PersonInstrument,['bagpipes']
Phil Collins,PersonInstrument,"['bass guitar', 'guitar']"
Phil Collins,PersonInstrument,"['drum', 'drum kit']"
Phil Collins,PersonInstrument,"['percussion instrument', 'percussion']"
Dave Mustaine,PersonInstrument,['guitar']
Kendall Schmidt,PersonInstrument,['guitar']
Amber Liu,PersonInstrument,['guitar']
Minami Takahashi,PersonInstrument,['NONE']
Paul Stanley,PersonInstrument,['guitar']
Paul Stanley,PersonInstrument,"['bass guitar', 'guitar']"
Paul Stanley,PersonInstrument,"['drum', 'drum kit']"
Mithra Jin,PersonInstrument,"['drum', 'drum kit']"
Ok Taec-yeon,PersonInstrument,['NONE']
Haruna Kojima,PersonInstrument,['NONE']
Eric Clapton,PersonInstrument,['guitar']
Eric Clapton,PersonInstrument,"['electric guitar', 'guitar']"
Keith Richards,PersonInstrument,['guitar']
Anna Iriyama,PersonInstrument,['flute']
Seungri,PersonInstrument,['NONE']
Lee Hi,PersonInstrument,['NONE']
Randy Jackson,PersonInstrument,['guitar']
Randy Jackson,PersonInstrument,"['bass guitar', 'guitar']"
Randy Jackson,PersonInstrument,['bass']
Emma Bunton,PersonInstrument,['NONE']
Lee Hong-gi,PersonInstrument,['guitar']
Alice Cooper,PersonInstrument,['harmonica']
David Gilmour,PersonInstrument,['guitar']
David Gilmour,PersonInstrument,['saxophone']
David Gilmour,PersonInstrument,"['bass guitar', 'guitar']"
David Gilmour,PersonInstrument,"['drum', 'drum kit']"
Ronnie James Dio,PersonInstrument,['trumpet']
Ronnie James Dio,PersonInstrument,"['bass guitar', 'guitar']"
Annie Lennox,PersonInstrument,['piano']
Annie Lennox,PersonInstrument,['recorder']
Mike Portnoy,PersonInstrument,"['drum', 'drum kit']"
Sayaka Yamamoto,PersonInstrument,['guitar']
Jay Park,PersonInstrument,['NONE']
Melanie C,PersonInstrument,['NONE']
Yong Jun-hyung,PersonInstrument,['piano']
Yoon Doo-joon,PersonInstrument,['piano']
David Crosby,PersonInstrument,['piano']
David Crosby,PersonInstrument,['guitar']
David Crosby,PersonInstrument,['violin']
David Crosby,PersonInstrument,['tambourine']
David Crosby,PersonInstrument,"['guitar', '12-string guitar']"
Jack White,PersonInstrument,['piano']
Jack White,PersonInstrument,['guitar']
Jack White,PersonInstrument,"['drum', 'drum kit']"
Jack White,PersonInstrument,['mandolin']
Jack White,PersonInstrument,"['keyboard', 'musical keyboard']"
Yim Si-wan,PersonInstrument,['NONE']
Son Dong-woon,PersonInstrument,['NONE']
Tom Petty,PersonInstrument,['guitar']
Flea,PersonInstrument,"['bass guitar', 'guitar']"
Kevin Richardson,PersonInstrument,['piano']
Kevin Richardson,PersonInstrument,['NONE']
Geezer Butler,PersonInstrument,['guitar']
Geezer Butler,PersonInstrument,"['bass guitar', 'guitar']"
Geezer Butler,PersonInstrument,['bass']
Jo Kwon,PersonInstrument,['NONE']
Kang Min-hyuk,PersonInstrument,"['drum', 'drum kit']"
Vince Neil,PersonInstrument,['guitar']
Zhou Mi,PersonInstrument,['NONE']
Park Gyu-ri,PersonInstrument,['piano']
Kim Kibum,PersonInstrument,['young plan']
Yuki Kashiwagi,PersonInstrument,"['drum', 'drum kit']"
Dougie Poynter,PersonInstrument,['guitar']
Dougie Poynter,PersonInstrument,"['bass guitar', 'guitar']"
Yūko Ōshima,PersonInstrument,"['bass guitar', 'guitar']"
Soprano,PersonInstrument,['NONE']
Johnny Marr,PersonInstrument,['guitar']
Jamie,PersonInstrument,['NONE']
Jung Jin-woon,PersonInstrument,['NONE']
Mikey Way,PersonInstrument,['guitar']
Mikey Way,PersonInstrument,"['bass guitar', 'guitar']"
Debbie Harry,PersonInstrument,['NONE']
Sammy Hagar,PersonInstrument,['guitar']
Lars Ulrich,PersonInstrument,"['drum', 'drum kit']"
Glenn Hughes,PersonInstrument,['guitar']
Glenn Hughes,PersonInstrument,"['bass guitar', 'guitar']"
Song Jieun,PersonInstrument,['piano']
Lee Hyun,PersonInstrument,['NONE']
Ray Toro,PersonInstrument,['guitar']
Ray Toro,PersonInstrument,"['percussion instrument', 'percussion']"
Jen Ledger,PersonInstrument,"['drum', 'drum kit']"
Jen Ledger,PersonInstrument,"['percussion instrument', 'percussion']"
Dominic Howard,PersonInstrument,"['drum', 'drum kit']"
Dominic Howard,PersonInstrument,"['percussion instrument', 'percussion']"
Paul Weller,PersonInstrument,['guitar']
Onew,PersonInstrument,['NONE']
Lance Bass,PersonInstrument,['NONE']
Florence Welch,PersonInstrument,['guitar']
Sarah Harding,PersonInstrument,['NONE']
