SubjectEntity,ObjectEntity,relation
Bob marley,['jackson memorial hospital'],PersonPlaceOfDeath
Michael jackson,['los angeles'],PersonPlaceOfDeath
John lennon,['new york city'],PersonPlaceOfDeath
Mohamed morsi,['tora prison'],PersonPlaceOfDeath
John mccain,['cornville'],PersonPlaceOfDeath
Kofi annan,['bern'],PersonPlaceOfDeath
David bowie,['manhattan'],PersonPlaceOfDeath
Tupac shakur,['university medical center of southern nevada'],PersonPlaceOfDeath
Lata mangeshkar,['mumbai'],PersonPlaceOfDeath
Janis joplin,['hollywood'],PersonPlaceOfDeath
Amy winehouse,['london borough of camden'],PersonPlaceOfDeath
Bruce lee,['kowloon tong'],PersonPlaceOfDeath
Mac miller,['los angeles'],PersonPlaceOfDeath
Muhammad ali,['scottsdale'],PersonPlaceOfDeath
Stan lee,['cedars-sinai medical center'],PersonPlaceOfDeath
Patrice o'neal,['jersey city'],PersonPlaceOfDeath
Rishi kapoor,['mumbai'],PersonPlaceOfDeath
Vivek,['chennai'],PersonPlaceOfDeath
Louis armstrong,['new york city'],PersonPlaceOfDeath
Prince,['chanhassen'],PersonPlaceOfDeath
Roddy piper,['hollywood'],PersonPlaceOfDeath
Paul walker,['valencia'],PersonPlaceOfDeath
Frida kahlo,['coyoacán'],PersonPlaceOfDeath
Vicente fernández,['guadalajara'],PersonPlaceOfDeath
Carrie fisher,"['los angeles, california, estados unufos']",PersonPlaceOfDeath
Elizabeth taylor,['los angeles'],PersonPlaceOfDeath
Jessica jaymes,['north hills'],PersonPlaceOfDeath
Sushma swaraj,"['new delhi', 'delhi']",PersonPlaceOfDeath
Joan rivers,['mount sinai hospital'],PersonPlaceOfDeath
Bob saget,['orlando'],PersonPlaceOfDeath
Shane warne,['ko samui'],PersonPlaceOfDeath
Hugh hefner,['playboy mansion'],PersonPlaceOfDeath
Gustavo cerati,['núñez'],PersonPlaceOfDeath
Amber rayne,['sun valley'],PersonPlaceOfDeath
Alan garcía,['lima'],PersonPlaceOfDeath
Kurt vonnegut,['new york city'],PersonPlaceOfDeath
George michael,['goring-on-thames'],PersonPlaceOfDeath
Alfredo gonzález flores,['heredia'],PersonPlaceOfDeath
Arun jaitley,"['all india institute of medical sciences, new delhi']",PersonPlaceOfDeath
Terry pratchett,['broad chalke'],PersonPlaceOfDeath
Roger ebert,['chicago'],PersonPlaceOfDeath
Jenni rivera,['monterrey'],PersonPlaceOfDeath
Pierre nkurunziza,['karuzi'],PersonPlaceOfDeath
Roald dahl,['oxford'],PersonPlaceOfDeath
Eddie van halen,['santa monica'],PersonPlaceOfDeath
Philipp mißfelder,['coesfeld'],PersonPlaceOfDeath
Roh hoe-chan,['seoul'],PersonPlaceOfDeath
Gilbert gottfried,['manhattan'],PersonPlaceOfDeath
Stephen covey,['idaho falls'],PersonPlaceOfDeath
Rush limbaugh,['palm beach'],PersonPlaceOfDeath
Charlie daniels,['hermitage'],PersonPlaceOfDeath
John coltrane,['huntington'],PersonPlaceOfDeath
Leon allen white,['denver'],PersonPlaceOfDeath
Raffaella carrà,['rome'],PersonPlaceOfDeath
Frank sinatra,['los angeles'],PersonPlaceOfDeath
Thomas oppermann,['göttingen'],PersonPlaceOfDeath
Tom petty,['ucla santa monica medical center'],PersonPlaceOfDeath
Paul g. allen,['seattle'],PersonPlaceOfDeath
Goo hara,['cheongdam-dong'],PersonPlaceOfDeath
Harry reid,['henderson'],PersonPlaceOfDeath
Idriss déby,['tibesti region'],PersonPlaceOfDeath
