SubjectEntity,relation,ObjectEntity
"""Weird Al"" Yankovic",PersonProfession,"['singer-songwriter', 'singer', 'songwriter']"
"""Weird Al"" Yankovic",PersonProfession,['actor']
"""Weird Al"" Yankovic",PersonProfession,['comedian']
Aamir Khan,PersonProfession,"['producer', 'film producer']"
Aamir Khan,PersonProfession,"['actor', 'film actor']"
Aamir Khan,PersonProfession,['screenwriter']
Aamir Khan,PersonProfession,"['presenter', 'television presenter']"
Aamir Khan,PersonProfession,"['director', 'film director']"
Alessandro Del Piero,PersonProfession,['journalist']
Alessandro Del Piero,PersonProfession,"['association football player', 'footballer']"
Alicia Keys,PersonProfession,['actor']
Alicia Keys,PersonProfession,['composer']
Alicia Keys,PersonProfession,"['producer', 'record producer']"
Alicia Keys,PersonProfession,['pianist']
Alicia Keys,PersonProfession,['musician']
Alicia Keys,PersonProfession,"['art collector', 'collector']"
Alicia Keys,PersonProfession,['presenter']
Alicia Keys,PersonProfession,"['artist', 'recording artist']"
Alicia Keys,PersonProfession,['singer']
Alicia Keys,PersonProfession,['poet']
Amitabh Bachchan,PersonProfession,"['actor', 'film actor']"
Amitabh Bachchan,PersonProfession,['actor']
Amitabh Bachchan,PersonProfession,['singer']
Amitabh Bachchan,PersonProfession,"['producer', 'film producer']"
Amitabh Bachchan,PersonProfession,"['actor', 'television actor']"
Ariana Grande,PersonProfession,['philanthropist']
Ariana Grande,PersonProfession,['dancer']
Ariana Grande,PersonProfession,['model']
Ariana Grande,PersonProfession,"['voice actor', 'actor']"
Ariana Grande,PersonProfession,"['singer-songwriter', 'singer', 'songwriter']"
Ariana Grande,PersonProfession,['actor']
Ariana Grande,PersonProfession,"['producer', 'record producer']"
Arnold Schwarzenegger,PersonProfession,['businessperson']
Arnold Schwarzenegger,PersonProfession,['actor']
Arnold Schwarzenegger,PersonProfession,['politician']
Arnold Schwarzenegger,PersonProfession,['entrepreneur']
Arnold Schwarzenegger,PersonProfession,"['broker', 'real estate broker']"
Arnold Schwarzenegger,PersonProfession,"['director', 'film director']"
Arnold Schwarzenegger,PersonProfession,['restaurateur']
Arnold Schwarzenegger,PersonProfession,"['producer', 'film producer']"
Arnold Schwarzenegger,PersonProfession,"['actor', 'film actor']"
Arnold Schwarzenegger,PersonProfession,['bodybuilder']
Arnold Schwarzenegger,PersonProfession,['autobiographer']
Arnold Schwarzenegger,PersonProfession,['powerlifter']
Arnold Schwarzenegger,PersonProfession,['soldier']
Arvind Kejriwal,PersonProfession,['politician']
Arvind Kejriwal,PersonProfession,['bureaucrat']
Ben Stiller,PersonProfession,['comedian']
Ben Stiller,PersonProfession,['screenwriter']
Ben Stiller,PersonProfession,['actor']
Ben Stiller,PersonProfession,['writer']
Ben Stiller,PersonProfession,"['actor', 'character actor']"
Ben Stiller,PersonProfession,"['producer', 'film producer']"
Ben Stiller,PersonProfession,"['voice actor', 'actor']"
Ben Stiller,PersonProfession,"['director', 'film director']"
Ben Stiller,PersonProfession,['manufacturer']
Ben Stiller,PersonProfession,['director']
Ben Stiller,PersonProfession,"['actor', 'film actor']"
Ben Stiller,PersonProfession,"['actor', 'television actor']"
Ben Stiller,PersonProfession,['trekkie']
Beyoncé,PersonProfession,['screenwriter']
Beyoncé,PersonProfession,['dancer']
Beyoncé,PersonProfession,['entrepreneur']
Beyoncé,PersonProfession,"['producer', 'record producer']"
Beyoncé,PersonProfession,"['singer-songwriter', 'singer', 'songwriter']"
Beyoncé,PersonProfession,['model']
Beyoncé,PersonProfession,"['voice actor', 'actor']"
Beyoncé,PersonProfession,['choreographer']
Beyoncé,PersonProfession,"['director', 'film director']"
Beyoncé,PersonProfession,"['producer', 'film producer']"
Beyoncé,PersonProfession,"['designer', 'fashion designer']"
Beyoncé,PersonProfession,"['artist', 'recording artist']"
Beyoncé,PersonProfession,"['actor', 'film actor']"
Beyoncé,PersonProfession,['composer']
Bill Clinton,PersonProfession,['writer']
Bill Clinton,PersonProfession,['teacher']
Bill Clinton,PersonProfession,['lawyer']
Bill Clinton,PersonProfession,['politician']
Bill Clinton,PersonProfession,['statesperson']
Bill Clinton,PersonProfession,['diplomat']
Bill Clinton,PersonProfession,['autobiographer']
Bill Clinton,PersonProfession,['saxophonist']
Bill Maher,PersonProfession,"['presenter', 'television presenter']"
Bill Maher,PersonProfession,"['television producer', 'producer']"
Bill Maher,PersonProfession,['writer']
Bill Maher,PersonProfession,['actor']
Bill Maher,PersonProfession,['screenwriter']
Bill Maher,PersonProfession,['journalist']
Bill Maher,PersonProfession,['comedian']
Bill Maher,PersonProfession,"['producer', 'film producer']"
Blaise Matuidi,PersonProfession,"['association football player', 'footballer']"
Bob Marley,PersonProfession,['assembly line worker']
Bob Marley,PersonProfession,['operator']
Bob Marley,PersonProfession,['guitarist']
Bob Marley,PersonProfession,['composer']
Bob Marley,PersonProfession,"['singer-songwriter', 'singer', 'songwriter']"
Bob Marley,PersonProfession,['singer']
Brian May,PersonProfession,['youtuber']
Brian May,PersonProfession,['research fellow']
Brian May,PersonProfession,['composer']
Brian May,PersonProfession,"['presenter', 'television presenter']"
Brian May,PersonProfession,['physicist']
Brian May,PersonProfession,['singer']
Brian May,PersonProfession,"['producer', 'record producer']"
Brian May,PersonProfession,['pianist']
Brian May,PersonProfession,"['singer-songwriter', 'singer', 'songwriter']"
Brian May,PersonProfession,['astrophysicist']
Brian May,PersonProfession,['actor']
Brian May,PersonProfession,['guitarist']
Brie Larson,PersonProfession,"['television producer', 'producer']"
Brie Larson,PersonProfession,['screenwriter']
Brie Larson,PersonProfession,['actor']
Brie Larson,PersonProfession,['singer']
Brie Larson,PersonProfession,"['director', 'film director']"
