SubjectEntity,relation,ObjectEntity
Alaska,StateSharesBorderState,"['chukotka autonomous okrug', 'okrug']"
Alaska,StateSharesBorderState,['british columbia']
Alaska,StateSharesBorderState,['yukon']
Antofagasta region,StateSharesBorderState,"['catamarca province', 'catamarca']"
Antofagasta region,StateSharesBorderState,"['atacama region', 'atacama']"
Antofagasta region,StateSharesBorderState,"['tarapaca', 'tarapacá region']"
Antofagasta region,StateSharesBorderState,"['potosi', 'potosí department']"
Antofagasta region,StateSharesBorderState,"['jujuy', 'province of jujuy']"
Antofagasta region,StateSharesBorderState,"['salta', 'salta province']"
Appenzell ausserrhoden,StateSharesBorderState,"['st. gallen', 'canton of st. gallen']"
Appenzell ausserrhoden,StateSharesBorderState,['appenzell innerrhoden']
Appenzell innerrhoden,StateSharesBorderState,['appenzell ausserrhoden']
Appenzell innerrhoden,StateSharesBorderState,"['st. gallen', 'canton of st. gallen']"
Apulia,StateSharesBorderState,"['molise, campobasso']"
Apulia,StateSharesBorderState,['basilicata']
Apulia,StateSharesBorderState,['molise']
Apulia,StateSharesBorderState,['campania']
Aragon,StateSharesBorderState,['occitania']
Aragon,StateSharesBorderState,['nouvelle-aquitaine']
Aragon,StateSharesBorderState,"['pyrenees-atlantiques', 'pyrénées-atlantiques']"
Aragon,StateSharesBorderState,"['hautes-pyrenees', 'hautes-pyrénées']"
Aragon,StateSharesBorderState,"['castile and león', 'castile and leon', 'leon']"
Aragon,StateSharesBorderState,['la rioja']
Aragon,StateSharesBorderState,"['land of valencia', 'valencia']"
Aragon,StateSharesBorderState,['catalonia']
Aragon,StateSharesBorderState,['navarre']
Aragon,StateSharesBorderState,['haute-garonne']
Aragon,StateSharesBorderState,['castile-la mancha']
Araucanía region,StateSharesBorderState,"['los rios', 'los ríos region']"
Araucanía region,StateSharesBorderState,"['neuquen', 'neuquén province']"
Araucanía region,StateSharesBorderState,"['biobío region', 'biobio']"
Arica y parinacota region,StateSharesBorderState,"['oruro department', 'oruro']"
Arica y parinacota region,StateSharesBorderState,"['la paz', 'la paz department']"
Arica y parinacota region,StateSharesBorderState,['tacna']
Arica y parinacota region,StateSharesBorderState,"['tarapaca', 'tarapacá region']"
Arkansas,StateSharesBorderState,['tennessee']
Arkansas,StateSharesBorderState,['missouri']
Arkansas,StateSharesBorderState,['mississippi']
Arkansas,StateSharesBorderState,['texas']
Arkansas,StateSharesBorderState,['louisiana']
Arkansas,StateSharesBorderState,['oklahoma']
Asturias,StateSharesBorderState,['cantabria']
Asturias,StateSharesBorderState,['galicia']
Asturias,StateSharesBorderState,"['castile and león', 'castile and leon', 'leon']"
Asturias,StateSharesBorderState,"['león province', 'leon']"
Atacama region,StateSharesBorderState,"['san juan', 'san juan province']"
Atacama region,StateSharesBorderState,"['la rioja province', 'la rioja']"
Atacama region,StateSharesBorderState,"['catamarca province', 'catamarca']"
Atacama region,StateSharesBorderState,"['coquimbo region', 'coquimbo']"
Atacama region,StateSharesBorderState,"['antofagasta region', 'antofagasta']"
Baden-württemberg,StateSharesBorderState,['rhineland-palatinate']
Baden-württemberg,StateSharesBorderState,"['canton of zürich', 'zurich']"
Baden-württemberg,StateSharesBorderState,"['basel-landschaft', 'basel']"
Baden-württemberg,StateSharesBorderState,['canton aargau']
Baden-württemberg,StateSharesBorderState,['hesse']
Baden-württemberg,StateSharesBorderState,['bavaria']
Baden-württemberg,StateSharesBorderState,['switzerland']
Baden-württemberg,StateSharesBorderState,"['canton of schaffhausen', 'schaffhausen']"
Baden-württemberg,StateSharesBorderState,['thurgau']
Baden-württemberg,StateSharesBorderState,"['basel-stadt', 'basel']"
Baden-württemberg,StateSharesBorderState,['bas-rhin']
Baden-württemberg,StateSharesBorderState,['haut-rhin']
Baden-württemberg,StateSharesBorderState,['vorarlberg']
Baden-württemberg,StateSharesBorderState,['grand est']
Basel-landschaft,StateSharesBorderState,"['solothurn', 'canton of solothurn']"
Basel-landschaft,StateSharesBorderState,"['canton of jura', 'jura']"
Basel-landschaft,StateSharesBorderState,['haut-rhin']
Basel-landschaft,StateSharesBorderState,['basel-stadt']
Basel-landschaft,StateSharesBorderState,"['baden-wurttemberg', 'baden-württemberg']"
Basel-landschaft,StateSharesBorderState,['alsace']
Basel-landschaft,StateSharesBorderState,['canton aargau']
Berlin,StateSharesBorderState,"['dahme-spreewald district', 'dahme-spreewald']"
Berlin,StateSharesBorderState,"['teltow-flaming', 'teltow-fläming district']"
Berlin,StateSharesBorderState,"['oder-spree', 'oder-spree district']"
Berlin,StateSharesBorderState,"['markisch-oderland', 'märkisch-oderland district']"
Berlin,StateSharesBorderState,['potsdam']
Berlin,StateSharesBorderState,['kleinmachnow']
Berlin,StateSharesBorderState,"['oberhavel', 'oberhavel district']"
Berlin,StateSharesBorderState,"['barnim district', 'barnim']"
Berlin,StateSharesBorderState,"['havelland', 'havelland district']"
Berlin,StateSharesBorderState,['stahnsdorf']
Berlin,StateSharesBorderState,['brandenburg']
Berlin,StateSharesBorderState,"['potsdam-mittelmark district', 'potsdam-mittelmark']"
California,StateSharesBorderState,['arizona']
California,StateSharesBorderState,['nevada']
California,StateSharesBorderState,['baja california']
California,StateSharesBorderState,['oregon']
Campania,StateSharesBorderState,['molise']
Campania,StateSharesBorderState,['basilicata']
Campania,StateSharesBorderState,['apulia']
Campania,StateSharesBorderState,['lazio']
Canelones department,StateSharesBorderState,"['florida', 'florida department']"
Canelones department,StateSharesBorderState,"['montevideo department', 'montevideo']"
Canelones department,StateSharesBorderState,"['maldonado department', 'maldonado']"
Canelones department,StateSharesBorderState,"['lavalleja', 'lavalleja department']"
Canelones department,StateSharesBorderState,"['san josé department', 'san jose']"
Cantabria,StateSharesBorderState,"['palencia province', 'palencia']"
Cantabria,StateSharesBorderState,"['castile and león', 'castile and leon', 'leon']"
Cantabria,StateSharesBorderState,['basque autonomous community']
Cantabria,StateSharesBorderState,"['león province', 'leon']"
Cantabria,StateSharesBorderState,"['burgos province', 'burgos']"
Cantabria,StateSharesBorderState,['asturias']
Canton aargau,StateSharesBorderState,"['solothurn', 'canton of solothurn']"
Canton aargau,StateSharesBorderState,"['canton of zug', 'zug']"
Canton aargau,StateSharesBorderState,"['canton of zürich', 'zurich']"
Canton aargau,StateSharesBorderState,['canton of bern']
Canton aargau,StateSharesBorderState,['basel-landschaft']
Canton aargau,StateSharesBorderState,"['canton of lucerne', 'lucerne']"
Canton aargau,StateSharesBorderState,"['baden-wurttemberg', 'baden-württemberg']"
Canton of fribourg,StateSharesBorderState,"['neuchatel', 'canton of neuchâtel']"
Canton of fribourg,StateSharesBorderState,"['vaud', 'canton of vaud']"
Canton of fribourg,StateSharesBorderState,['canton of bern']
Canton of geneva,StateSharesBorderState,"['rhone-alpes', 'rhône-alpes']"
Canton of geneva,StateSharesBorderState,['ain']
Canton of geneva,StateSharesBorderState,['haute-savoie']
Canton of geneva,StateSharesBorderState,"['vaud', 'canton of vaud']"
Canton of geneva,StateSharesBorderState,"['auvergne-rhone-alpes', 'auvergne-rhône-alpes']"
Canton of st. gallen,StateSharesBorderState,['schwyz']
Canton of st. gallen,StateSharesBorderState,['vorarlberg']
Canton of st. gallen,StateSharesBorderState,['thurgau']
Canton of st. gallen,StateSharesBorderState,['appenzell innerrhoden']
Canton of st. gallen,StateSharesBorderState,['appenzell ausserrhoden']
Canton of st. gallen,StateSharesBorderState,"['canton of zürich', 'zurich']"
Canton of st. gallen,StateSharesBorderState,['grisons']
Canton of st. gallen,StateSharesBorderState,['canton of glarus']
Canton of st. gallen,StateSharesBorderState,['bavaria']
Canton of ticino,StateSharesBorderState,"['province of verbano-cusio-ossola', 'verbano-cusio-ossola']"
Canton of ticino,StateSharesBorderState,"['province of varese', 'varese']"
Canton of ticino,StateSharesBorderState,"['como', 'province of como']"
Canton of ticino,StateSharesBorderState,['uri']
Canton of ticino,StateSharesBorderState,['grisons']
Canton of ticino,StateSharesBorderState,['lombardy']
Canton of ticino,StateSharesBorderState,['canton of valais']
Canton of ticino,StateSharesBorderState,['piedmont']
Castile and león,StateSharesBorderState,['portugal']
Castile and león,StateSharesBorderState,['la rioja']
Castile and león,StateSharesBorderState,['asturias']
Castile and león,StateSharesBorderState,['cantabria']
Castile and león,StateSharesBorderState,['castile-la mancha']
Castile and león,StateSharesBorderState,['galicia']
Castile and león,StateSharesBorderState,['community of madrid']
Castile and león,StateSharesBorderState,['extremadura']
Castile and león,StateSharesBorderState,['basque autonomous community']
Castile and león,StateSharesBorderState,['aragon']
Castile-la mancha,StateSharesBorderState,['aragon']
Castile-la mancha,StateSharesBorderState,"['castile and león', 'castile and leon', 'leon']"
Castile-la mancha,StateSharesBorderState,['andalusia']
Castile-la mancha,StateSharesBorderState,['extremadura']
Castile-la mancha,StateSharesBorderState,"['region of murcia', 'murcia']"
Castile-la mancha,StateSharesBorderState,"['community of madrid', 'madrid']"
Castile-la mancha,StateSharesBorderState,"['land of valencia', 'valencia']"
Catalonia,StateSharesBorderState,['aragon']
Catalonia,StateSharesBorderState,['occitania']
Catalonia,StateSharesBorderState,"['land of valencia', 'valencia']"
Catalonia,StateSharesBorderState,['andorra']
Colorado,StateSharesBorderState,['arizona']
Colorado,StateSharesBorderState,['utah']
Colorado,StateSharesBorderState,['wyoming']
Colorado,StateSharesBorderState,"['new mexico', 'mexico']"
Colorado,StateSharesBorderState,['kansas']
Colorado,StateSharesBorderState,['nebraska']
Colorado,StateSharesBorderState,['oklahoma']
Coquimbo region,StateSharesBorderState,"['valparaíso region', 'valparaiso']"
Coquimbo region,StateSharesBorderState,"['san juan', 'san juan province']"
Coquimbo region,StateSharesBorderState,"['atacama region', 'atacama']"
Dakahlia governorate,StateSharesBorderState,"['gharbia', 'gharbia governorate']"
Dakahlia governorate,StateSharesBorderState,"['qalyubia governorate', 'qalyubia']"
Dakahlia governorate,StateSharesBorderState,"['al sharqia governorate', 'al sharqia']"
Dakahlia governorate,StateSharesBorderState,"['damietta governorate', 'damietta']"
Dakahlia governorate,StateSharesBorderState,"['port said governorate', 'port said']"
Dakahlia governorate,StateSharesBorderState,"['kafr el-sheikh governorate', 'kafr el-sheikh']"
Durazno department,StateSharesBorderState,"['florida', 'florida department']"
Durazno department,StateSharesBorderState,"['rio negro', 'río negro department']"
Durazno department,StateSharesBorderState,"['flores', 'flores department']"
Durazno department,StateSharesBorderState,"['cerro largo', 'cerro largo department']"
Durazno department,StateSharesBorderState,"['treinta y tres department', 'treinta y tres']"
Durazno department,StateSharesBorderState,"['tacuarembo', 'tacuarembó department']"
Emirate of dubai,StateSharesBorderState,"['ras al khaimah', 'emirate of ras al khaimah']"
Emirate of dubai,StateSharesBorderState,"['ajman', 'emirate of ajman']"
Emirate of dubai,StateSharesBorderState,['oman']
Emirate of dubai,StateSharesBorderState,"['emirate of abu dhabi', 'abu dhabi']"
Emirate of dubai,StateSharesBorderState,"['emirate of sharjah', 'sharjah']"
England,StateSharesBorderState,['wales']
England,StateSharesBorderState,['scotland']
Extremadura,StateSharesBorderState,['portalegre']
Extremadura,StateSharesBorderState,['guarda']
Extremadura,StateSharesBorderState,"['castile and león', 'castile and leon', 'leon']"
Extremadura,StateSharesBorderState,['castelo branco']
Extremadura,StateSharesBorderState,['castile-la mancha']
Extremadura,StateSharesBorderState,['andalusia']
Extremadura,StateSharesBorderState,"['evora', 'évora']"
Extremadura,StateSharesBorderState,['beja']
Florida,StateSharesBorderState,['georgia']
Florida,StateSharesBorderState,['alabama']
Florida department,StateSharesBorderState,"['durazno', 'durazno department']"
Florida department,StateSharesBorderState,"['lavalleja', 'lavalleja department']"
Florida department,StateSharesBorderState,"['treinta y tres department', 'treinta y tres']"
Florida department,StateSharesBorderState,"['san josé department', 'san jose']"
Florida department,StateSharesBorderState,"['flores', 'flores department']"
Florida department,StateSharesBorderState,"['canelones', 'canelones department']"
Gelderland,StateSharesBorderState,"['brabant', 'north brabant']"
Gelderland,StateSharesBorderState,['limburg']
Gelderland,StateSharesBorderState,['utrecht']
Gelderland,StateSharesBorderState,['overijssel']
Gelderland,StateSharesBorderState,['flevoland']
Gelderland,StateSharesBorderState,"['north rhine-westphalia', 'rhine-westphalia']"
Gelderland,StateSharesBorderState,"['holland', 'south holland']"
Georgia,StateSharesBorderState,['alabama']
Georgia,StateSharesBorderState,['florida']
Georgia,StateSharesBorderState,"['south carolina', 'carolina']"
Georgia,StateSharesBorderState,['tennessee']
Georgia,StateSharesBorderState,"['north carolina', 'carolina']"
Gibraltar,StateSharesBorderState,['spain']
Gibraltar,StateSharesBorderState,['andalusia']
Greater poland voivodeship,StateSharesBorderState,"['opole', 'opole voivodeship']"
Greater poland voivodeship,StateSharesBorderState,"['pomeranian voivodeship', 'pomeranian']"
Greater poland voivodeship,StateSharesBorderState,"['lower silesian voivodeship', 'lower silesian', 'silesian']"
Greater poland voivodeship,StateSharesBorderState,"['kuyavian-pomeranian', 'kuyavian-pomeranian voivodeship']"
Greater poland voivodeship,StateSharesBorderState,"['lubusz voivodeship', 'lubusz']"
Greater poland voivodeship,StateSharesBorderState,"['łódź voivodeship', 'lodz']"
Greater poland voivodeship,StateSharesBorderState,"['pomeranian', 'west pomeranian voivodeship']"
Grisons,StateSharesBorderState,"['tyrol', 'south tyrol']"
Grisons,StateSharesBorderState,['livo']
Grisons,StateSharesBorderState,['gravedona ed uniti']
Grisons,StateSharesBorderState,['tyrol']
Grisons,StateSharesBorderState,['vorarlberg']
Grisons,StateSharesBorderState,"['province of sondrio', 'sondrio']"
Grisons,StateSharesBorderState,['dosso del liro']
Grisons,StateSharesBorderState,"['como', 'province of como']"
Grisons,StateSharesBorderState,"['st. gallen', 'canton of st. gallen']"
Grisons,StateSharesBorderState,"['canton of ticino', 'ticino']"
Grisons,StateSharesBorderState,['uri']
Grisons,StateSharesBorderState,['canton of glarus']
Grisons,StateSharesBorderState,"['trentino-south tyrol', 'tyrol']"
Grisons,StateSharesBorderState,['lombardy']
Guam,StateSharesBorderState,"['mariana islands', 'northern mariana islands']"
Guam,StateSharesBorderState,"['federateds of micronesia', 'federated states of micronesia']"
Hamburg,StateSharesBorderState,['herzogtum lauenburg']
Hamburg,StateSharesBorderState,['schleswig-holstein']
Hamburg,StateSharesBorderState,"['lower saxony', 'saxony']"
Hamburg,StateSharesBorderState,['segeberg']
Hamburg,StateSharesBorderState,['stormarn']
Hamburg,StateSharesBorderState,['harburg']
Hamburg,StateSharesBorderState,['norderstedt']
Hamburg,StateSharesBorderState,['stade']
Hamburg,StateSharesBorderState,['seevetal']
Hamburg,StateSharesBorderState,['neu wulmstorf']
Hamburg,StateSharesBorderState,['reinbek']
Hamburg,StateSharesBorderState,['halstenbek']
Hamburg,StateSharesBorderState,"['bonningstedt', 'bönningstedt']"
Hamburg,StateSharesBorderState,['pinneberg']
Iwate prefecture,StateSharesBorderState,"['akita prefecture', 'akita']"
Iwate prefecture,StateSharesBorderState,"['aomori', 'aomori prefecture']"
Iwate prefecture,StateSharesBorderState,"['miyagi prefecture', 'miyagi']"
Kagoshima prefecture,StateSharesBorderState,"['okinawa', 'okinawa prefecture']"
Kagoshima prefecture,StateSharesBorderState,"['kumamoto', 'kumamoto prefecture']"
Kagoshima prefecture,StateSharesBorderState,"['miyazaki', 'miyazaki prefecture']"
Kainuu,StateSharesBorderState,"['ostrobothnia', 'northern ostrobothnia']"
Kainuu,StateSharesBorderState,"['northern savonia', 'savonia']"
Kainuu,StateSharesBorderState,"['north karelia', 'karelia']"
Kainuu,StateSharesBorderState,['karelia']
Kansas,StateSharesBorderState,['oklahoma']
Kansas,StateSharesBorderState,['nebraska']
Kansas,StateSharesBorderState,['colorado']
Kansas,StateSharesBorderState,['missouri']
La rioja,StateSharesBorderState,"['basque autonomous community', 'basque']"
La rioja,StateSharesBorderState,['navarre']
La rioja,StateSharesBorderState,['aragon']
La rioja,StateSharesBorderState,"['castile and león', 'castile and leon', 'leon']"
La rioja,StateSharesBorderState,"['burgos province', 'burgos']"
La rioja,StateSharesBorderState,"['sierra de urbion', 'sierra de urbión']"
Lapland,StateSharesBorderState,"['norrbotten county', 'norrbotten']"
Lapland,StateSharesBorderState,['troms og finnmark fylke']
Lapland,StateSharesBorderState,['murmansk oblast']
Lapland,StateSharesBorderState,['karelia']
Lapland,StateSharesBorderState,"['ostrobothnia', 'northern ostrobothnia']"
Lapland,StateSharesBorderState,['troms']
Lapland,StateSharesBorderState,['finnmark']
Lazio,StateSharesBorderState,['umbria']
Lazio,StateSharesBorderState,['tuscany']
Lazio,StateSharesBorderState,['marche']
Lazio,StateSharesBorderState,['molise']
Lazio,StateSharesBorderState,['abruzzo']
Lazio,StateSharesBorderState,['campania']
Liguria,StateSharesBorderState,['piedmont']
Liguria,StateSharesBorderState,['emilia-romagna']
Liguria,StateSharesBorderState,"['auvergne-rhone-alpes', 'auvergne-rhône-alpes']"
Liguria,StateSharesBorderState,['tuscany']
Los ríos region,StateSharesBorderState,"['araucanía region', 'araucania']"
Los ríos region,StateSharesBorderState,"['neuquen', 'neuquén province']"
Los ríos region,StateSharesBorderState,"['los lagos region', 'los lagos']"
Louisiana,StateSharesBorderState,['texas']
Louisiana,StateSharesBorderState,['mississippi']
Louisiana,StateSharesBorderState,['arkansas']
Magellan and the chilean antarctic region,StateSharesBorderState,"['aysen', 'aysén region']"
Magellan and the chilean antarctic region,StateSharesBorderState,"['tierra del fuego, antarctica and south atlantic islands province']"
Magellan and the chilean antarctic region,StateSharesBorderState,"['santa cruz province', 'santa cruz']"
Maine,StateSharesBorderState,['new hampshire']
Maine,StateSharesBorderState,['quebec']
